ud,pc,zf,p,o,h,l,yc,cje,v,pv,tv,t,dm
62.454,0.783,0.7564,8038.613,7978.279,8038.613,7978.279,7976.159000000001,111057344800,75964570,75964570,301253,2025-07-17 15:00:09,000099
-3.329,-0.0565,0.413,5886.235,5880.137,5893.881,5869.557,5889.564,239031476900,194848400,194848400,851766,2025-07-17 15:00:09,000100
0.029,0.0116,0.0056,249.05,249.038,249.05,249.036,249.021,404325400,403133,403133,100,2025-07-17 14:58:54,000101
44.59,0.7883,0.8774,5701.093,5666.273,5701.093,5651.463,5656.503,43076791500,21620769,21620769,87435,2025-07-17 15:00:09,000102
64.207,0.8049,0.8664,8041.109,7971.998000000001,8041.109,7971.998000000001,7976.902,24480798300,6341004,6341004,18503,2025-07-17 15:00:09,000103
3.746,0.2944,0.7531,1276.204,1273.213,1277.793,1268.21,1272.458,2358160700,3410377,3410377,12745,2025-07-17 15:00:09,000104
30.294,0.7448,1.0848,4097.679,4062.771,4101.913,4057.79,4067.385,15584340500,13054363,13054363,33221,2025-07-17 15:00:09,000105
39.514,0.8268,0.9609,4818.804,4779.73,4818.804,4772.879,4779.29,32230622200,22894596,22894596,73657,2025-07-17 15:00:09,000106
27.775,0.5351,0.637,5218.371,5192.304,5223.977,5190.911,5190.596,9662626500,5834297,5834297,23228,2025-07-17 15:00:09,000107
30.625,0.2611,0.6016,11759.175,11731.484,11793.963,11723.402,11728.55,3058666700,1754394,1754394,4727,2025-07-17 15:00:09,000108
111.014,1.059,1.1768,10593.712,10478.468,10593.908,10470.546,10482.698,12332168900,4886680,4886680,15189,2025-07-17 15:00:09,000109
-1.268,-0.0301,0.9063,4218.127,4221.821,4238.844,4200.604,4219.395,8512084400,9368331,9368331,40472,2025-07-17 15:00:09,000110
82.702,1.0191,1.2983,8197.704,8119.043000000001,8197.704,8092.343,8115.002,21857842500,5967164,5967164,39772,2025-07-17 15:00:09,000111
86.396,1.8541,2.354,4746.029,4642.052,4746.029,4636.341,4659.633,8131258000,3369267,3369267,18890,2025-07-17 15:00:09,000112
0.801,0.031,0.7154,2585.778,2586.408,2593.437,2574.945,2584.977,2715422800,7273003,7273003,16958,2025-07-17 15:00:09,000113
2.068,0.1756,1.131,1179.811,1182.942,1187.195,1173.875,1177.743,19247536900,14140320,14140320,60276,2025-07-17 15:00:09,000114
57.907,0.7746,0.8193,7533.701,7475.376,7533.701,7472.45,7475.794,119122012300,82393485,82393485,291072,2025-07-17 15:00:09,000115
0.035,0.0177,0.0182,198.22,198.196,198.224,198.188,198.185,440575100,439134,439134,800,2025-07-17 15:04:06,000116
23.203,0.6413,0.8042,3641.392,3618.56,3641.392,3612.296,3618.189,38525054600,15358764,15358764,53385,2025-07-17 15:00:09,000117
-11.706,-0.1285,0.6113,9095.067000000001,9101.762,9118.441,9062.768,9106.773000000001,21835238200,30067075,30067075,118458,2025-07-17 15:00:09,000118
37.367,1.0247,1.1448,3683.992,3646.854,3683.992,3642.246,3646.625,100867080900,55275413,55275413,179055,2025-07-17 15:00:09,000119
36.778,0.4343,0.552,8505.016,8465.83,8509.404,8462.661,8468.238,84177264400,69983724,69983724,244127,2025-07-17 15:00:09,000120
100.308,1.1882,1.362,8542.207,8439.181,8543.18,8428.201000000001,8441.899,23551601900,7095928,7095928,16610,2025-07-17 15:00:09,000121
19.254,1.2541,1.1503,1554.536,1537.187,1554.766,1537.105,1535.282,4787352900,5651250,5651250,29154,2025-07-17 15:00:09,000122
47.203,0.8148,0.971,5840.664,5790.531,5840.664,5784.411,5793.461,97599988100,45640627,45640627,207542,2025-07-17 15:00:09,000123
1.934,0.0167,0.3757,11611.305,11596.242,11627.156,11583.534,11609.371,65159493900,52697124,52697124,245815,2025-07-17 15:00:09,000125
60.216,0.7603,0.7537,7980.205,7922.582,7982.274,7922.582,7919.989,29604025200,10938020,10938020,38518,2025-07-17 15:00:09,000126
18.361,0.2276,0.5189,8086.082,8060.532,8091.716,8049.849,8067.721,119122012300,82393485,82393485,291072,2025-07-17 15:00:09,000128
-18.435,-0.123,0.4733,14967.901,14973.223,14999.31,14928.38,14986.336,65908398100,67275569,67275569,294122,2025-07-17 15:00:09,000129
-12.922,-0.1034,0.5641,12483.27,12494.132,12522.088,12451.603,12496.192,15772073200,20044718,20044718,94385,2025-07-17 15:00:09,000130
121.285,4.0489,4.2898,3116.788,2995.177,3117.557,2989.056,2995.503,28548680500,6562998,6562998,23573,2025-07-17 15:00:09,000131
16.39,0.3143,0.3967,5230.914,5215.345,5230.914,5210.228,5214.524,28289330300,11666908,11666908,26964,2025-07-17 15:00:09,000132
66.724,1.2151,1.505,5558.04,5487.77,5558.04,5475.393,5491.316,40683492800,27205887,27205887,63281,2025-07-17 15:00:09,000133
-4.556,-0.4052,0.8763,1119.742,1122.636,1126.985,1117.133,1124.298,19977624300,24476677,24476677,123348,2025-07-17 15:00:09,000134
44.636,0.8275,1.1096,5438.475,5400.859,5438.475,5378.624,5393.839,75726174800,21662639,21662639,111073,2025-07-17 15:00:09,000135
-123.605,-1.0435,1.4498,11721.476,11829.764,11862.447,11690.717,11845.081,39412826900,40013835,40013835,206946,2025-07-17 15:00:09,000136
75.834,1.6032,1.8046,4805.99,4730.773,4805.99,4720.629,4730.156,42053568900,17931373,17931373,39009,2025-07-17 15:00:09,000137
4.228,0.0568,0.5097,7441.999,7435.372,7452.783,7414.874,7437.771,17339565800,16753796,16753796,72265,2025-07-17 15:00:09,000138
2.978,0.7536,0.7076,398.144,395.386,398.182,395.386,395.166,31909680200,20150724,20150724,1525,2025-07-17 15:00:03,000139
32.321,0.9937,1.175,3284.907,3251.749,3284.907,3246.689,3252.586,73419402100,45188187,45188187,150731,2025-07-17 15:00:09,000141
41.03,0.4721,0.558,8732.618,8692.334,8737.07,8688.573,8691.588,44013946300,36753710,36753710,139282,2025-07-17 15:00:09,000142
19.152,0.3442,0.7678,5583.731,5559.32,5589.473,5546.746,5564.579,28590936900,17561345,17561345,46675,2025-07-17 15:00:09,000145
119.554,1.8779,1.82,6486.011,6383.353,6486.011,6370.14,6366.457,39605109700,17770796,17770796,69554,2025-07-17 15:00:09,000146
